"","region","subregion","TOT_POP","FIPS"
"1","Alabama","Autauga County",56145,"01001"
"2","Alabama","Baldwin County",229287,"01003"
"3","Alabama","Barbour County",24589,"01005"
"4","Alabama","Bibb County",22136,"01007"
"5","Alabama","Blount County",57879,"01009"
"6","Alabama","Bullock County",9976,"01011"
"7","Alabama","Butler County",19504,"01013"
"8","Alabama","Calhoun County",113469,"01015"
"9","Alabama","Chambers County",32865,"01017"
"10","Alabama","Cherokee County",26294,"01019"
"11","Alabama","Chilton County",44397,"01021"
"12","Alabama","Choctaw County",12418,"01023"
"13","Alabama","Clarke County",23291,"01025"
"14","Alabama","Clay County",13112,"01027"
"15","Alabama","Cleburne County",14967,"01029"
"16","Alabama","Coffee County",53230,"01031"
"17","Alabama","Colbert County",55411,"01033"
"18","Alabama","Conecuh County",11851,"01035"
"19","Alabama","Coosa County",10650,"01037"
"20","Alabama","Covington County",36930,"01039"
"21","Alabama","Crenshaw County",13681,"01041"
"22","Alabama","Cullman County",84515,"01043"
"23","Alabama","Dale County",48959,"01045"
"24","Alabama","Dallas County",36098,"01047"
"25","Alabama","DeKalb County",71658,"01049"
"26","Alabama","Elmore County",82158,"01051"
"27","Alabama","Escambia County",36281,"01053"
"28","Alabama","Etowah County",102371,"01055"
"29","Alabama","Fayette County",16241,"01057"
"30","Alabama","Franklin County",31507,"01059"
"31","Alabama","Geneva County",26411,"01061"
"32","Alabama","Greene County",7990,"01063"
"33","Alabama","Hale County",14670,"01065"
"34","Alabama","Henry County",17223,"01067"
"35","Alabama","Houston County",106580,"01069"
"36","Alabama","Jackson County",51582,"01071"
"37","Alabama","Jefferson County",655342,"01073"
"38","Alabama","Lamar County",13764,"01075"
"39","Alabama","Lauderdale County",93368,"01077"
"40","Alabama","Lawrence County",32857,"01079"
"41","Alabama","Lee County",166831,"01081"
"42","Alabama","Limestone County",102228,"01083"
"43","Alabama","Lowndes County",9641,"01085"
"44","Alabama","Macon County",17895,"01087"
"45","Alabama","Madison County",379453,"01089"
"46","Alabama","Marengo County",18733,"01091"
"47","Alabama","Marion County",29703,"01093"
"48","Alabama","Marshall County",96990,"01095"
"49","Alabama","Mobile County",412716,"01097"
"50","Alabama","Monroe County",20459,"01099"
"51","Alabama","Montgomery County",224639,"01101"
"52","Alabama","Morgan County",119883,"01103"
"53","Alabama","Perry County",8687,"01105"
"54","Alabama","Pickens County",19793,"01107"
"55","Alabama","Pike County",32966,"01109"
"56","Alabama","Randolph County",22920,"01111"
"57","Alabama","Russell County",58237,"01113"
"58","Alabama","St. Clair County",90739,"01115"
"59","Alabama","Shelby County",221428,"01117"
"60","Alabama","Sumter County",12225,"01119"
"61","Alabama","Talladega County",79985,"01121"
"62","Alabama","Tallapoosa County",40133,"01123"
"63","Alabama","Tuscaloosa County",210758,"01125"
"64","Alabama","Walker County",63143,"01127"
"65","Alabama","Washington County",15976,"01129"
"66","Alabama","Wilcox County",10206,"01131"
"67","Alabama","Winston County",23508,"01133"
"68","Alaska","Aleutians East Borough",3401,"02013"
"69","Alaska","Aleutians West Census Area",5680,"02016"
"70","Alaska","Anchorage Municipality",287095,"02020"
"71","Alaska","Bethel Census Area",18437,"02050"
"72","Alaska","Bristol Bay Borough",788,"02060"
"73","Alaska","Chugach Census Area",6427,"02063"
"74","Alaska","Copper River Census Area",2919,"02066"
"75","Alaska","Denali Borough",2081,"02068"
"76","Alaska","Dillingham Census Area",4833,"02070"
"77","Alaska","Fairbanks North Star Borough",95651,"02090"
"78","Alaska","Haines Borough",2614,"02100"
"79","Alaska","Hoonah-Angoon Census Area",2141,"02105"
"80","Alaska","Juneau City and Borough",31849,"02110"
"81","Alaska","Kenai Peninsula Borough",59414,"02122"
"82","Alaska","Ketchikan Gateway Borough",13747,"02130"
"83","Alaska","Kodiak Island Borough",12992,"02150"
"84","Alaska","Kusilvak Census Area",8328,"02158"
"85","Alaska","Lake and Peninsula Borough",1493,"02164"
"86","Alaska","Matanuska-Susitna Borough",110213,"02170"
"87","Alaska","Nome Census Area",9909,"02180"
"88","Alaska","North Slope Borough",9294,"02185"
"89","Alaska","Northwest Arctic Borough",7644,"02188"
"90","Alaska","Petersburg Borough",3296,"02195"
"91","Alaska","Prince of Wales-Hyder Census Area",6147,"02198"
"92","Alaska","Sitka City and Borough",8405,"02220"
"93","Alaska","Skagway Municipality",1179,"02230"
"94","Alaska","Southeast Fairbanks Census Area",6957,"02240"
"95","Alaska","Wrangell City and Borough",2510,"02275"
"96","Alaska","Yakutat City and Borough",637,"02282"
"97","Alaska","Yukon-Koyukuk Census Area",5077,"02290"
"98","Arizona","Apache County",71875,"04001"
"99","Arizona","Cochise County",127450,"04003"
"100","Arizona","Coconino County",142481,"04005"
"101","Arizona","Gila County",54303,"04007"
"102","Arizona","Graham County",39211,"04009"
"103","Arizona","Greenlee County",9341,"04011"
"104","Arizona","La Paz County",21480,"04012"
"105","Arizona","Maricopa County",4579081,"04013"
"106","Arizona","Mohave County",217206,"04015"
"107","Arizona","Navajo County",112112,"04017"
"108","Arizona","Pima County",1061175,"04019"
"109","Arizona","Pinal County",480828,"04021"
"110","Arizona","Santa Cruz County",46808,"04023"
"111","Arizona","Yavapai County",240226,"04025"
"112","Arizona","Yuma County",217824,"04027"
"113","Arkansas","Arkansas County",17383,"05001"
"114","Arkansas","Ashley County",19339,"05003"
"115","Arkansas","Baxter County",42242,"05005"
"116","Arkansas","Benton County",288774,"05007"
"117","Arkansas","Boone County",37625,"05009"
"118","Arkansas","Bradley County",10639,"05011"
"119","Arkansas","Calhoun County",5113,"05013"
"120","Arkansas","Carroll County",28276,"05015"
"121","Arkansas","Chicot County",9924,"05017"
"122","Arkansas","Clark County",22103,"05019"
"123","Arkansas","Clay County",14375,"05021"
"124","Arkansas","Cleburne County",24935,"05023"
"125","Arkansas","Cleveland County",7957,"05025"
"126","Arkansas","Columbia County",23331,"05027"
"127","Arkansas","Conway County",21037,"05029"
"128","Arkansas","Craighead County",112245,"05031"
"129","Arkansas","Crawford County",63409,"05033"
"130","Arkansas","Crittenden County",47616,"05035"
"131","Arkansas","Cross County",16142,"05037"
"132","Arkansas","Dallas County",6802,"05039"
"133","Arkansas","Desha County",11110,"05041"
"134","Arkansas","Drew County",17977,"05043"
"135","Arkansas","Faulkner County",126919,"05045"
"136","Arkansas","Franklin County",17897,"05047"
"137","Arkansas","Fulton County",12381,"05049"
"138","Arkansas","Garland County",99789,"05051"
"139","Arkansas","Grant County",18449,"05053"
"140","Arkansas","Greene County",45597,"05055"
"141","Arkansas","Hempstead County",21253,"05057"
"142","Arkansas","Hot Spring County",33787,"05059"
"143","Arkansas","Howard County",13109,"05061"
"144","Arkansas","Independence County",37757,"05063"
"145","Arkansas","Izard County",13613,"05065"
"146","Arkansas","Jackson County",16636,"05067"
"147","Arkansas","Jefferson County",65377,"05069"
"148","Arkansas","Johnson County",26513,"05071"
"149","Arkansas","Lafayette County",6596,"05073"
"150","Arkansas","Lawrence County",16410,"05075"
"151","Arkansas","Lee County",8513,"05077"
"152","Arkansas","Lincoln County",12944,"05079"
"153","Arkansas","Little River County",12180,"05081"
"154","Arkansas","Logan County",21410,"05083"
"155","Arkansas","Lonoke County",73921,"05085"
"156","Arkansas","Madison County",16644,"05087"
"157","Arkansas","Marion County",16790,"05089"
"158","Arkansas","Miller County",43177,"05091"
"159","Arkansas","Mississippi County",40066,"05093"
"160","Arkansas","Monroe County",6584,"05095"
"161","Arkansas","Montgomery County",9006,"05097"
"162","Arkansas","Nevada County",8099,"05099"
"163","Arkansas","Newton County",7602,"05101"
"164","Arkansas","Ouachita County",23167,"05103"
"165","Arkansas","Perry County",10327,"05105"
"166","Arkansas","Phillips County",17299,"05107"
"167","Arkansas","Pike County",10643,"05109"
"168","Arkansas","Poinsett County",23283,"05111"
"169","Arkansas","Polk County",19707,"05113"
"170","Arkansas","Pope County",64334,"05115"
"171","Arkansas","Prairie County",7966,"05117"
"172","Arkansas","Pulaski County",392980,"05119"
"173","Arkansas","Randolph County",18247,"05121"
"174","Arkansas","St. Francis County",24682,"05123"
"175","Arkansas","Saline County",123968,"05125"
"176","Arkansas","Scott County",10164,"05127"
"177","Arkansas","Searcy County",7842,"05129"
"178","Arkansas","Sebastian County",127590,"05131"
"179","Arkansas","Sevier County",16702,"05133"
"180","Arkansas","Sharp County",17424,"05135"
"181","Arkansas","Stone County",12674,"05137"
"182","Arkansas","Union County",38219,"05139"
"183","Arkansas","Van Buren County",16541,"05141"
"184","Arkansas","Washington County",243216,"05143"
"185","Arkansas","White County",78729,"05145"
"186","Arkansas","Woodruff County",6264,"05147"
"187","Arkansas","Yell County",21181,"05149"
"188","California","Alameda County",1662323,"06001"
"189","California","Alpine County",1119,"06003"
"190","California","Amador County",40083,"06005"
"191","California","Butte County",212744,"06007"
"192","California","Calaveras County",46308,"06009"
"193","California","Colusa County",21558,"06011"
"194","California","Contra Costa County",1152333,"06013"
"195","California","Del Norte County",27968,"06015"
"196","California","El Dorado County",192925,"06017"
